Gene	H_6h_1	H_6h_2	H_6h_3	H_6h_4	N_6h_1	N_6h_2	N_6h_3	N_6h_4	H_12h_1	H_12h_2	N_12h_1	N_12h_2	N_12h_3	H_D1_1	H_D1_2	H_D1_3	H_D1_4	N_D1_1	N_D1_2	N_D1_3	N_D1_4	H_D2_1	H_D2_2	H_D2_3	H_D2_4	N_D2_1	N_D2_2	N_D2_3	N_D2_4
GSDMA	8.934	10.832	8.915	9.34	9.219	10.524	8.867	8.428	7.792	6.646	4.581	5.677	5.468	3.072	2.039	1.952	2.369	2.031	2.236	2.55	2.552	1.065	0.882	1.128	1.53	1.34	1.28	1.533	1.35
GHDC	28.267	28.773	26.893	26.481	29.479	30.417	29.981	29.603	28.546	31.679	36.726	35.2	37.828	21.365	22.183	26.862	22.386	32.748	29.893	28.928	28.242	16.134	13.554	14.936	14.354	30.222	29.148	28.126	29.778
FAM234A	132.863	141.303	134.834	138.158	132.169	137.966	132.524	127.914	195.832	194.905	170.981	174.924	165.179	173.802	179.979	188.063	194.627	173.678	168.973	177.963	183.695	135.906	132.595	135.1	127.521	190.355	208.149	189.3	201.897
ZNF598	62.945	55.764	60.837	55.653	58.583	61.291	59.994	56.499	45.428	39.21	65.462	60.181	63.636	39.659	35.37	26.049	25.196	63.965	54.079	56.229	59.332	42.739	42.83	40.798	39.657	60.771	57.73	55.672	56.881
RAB26	15.702	15.683	15.578	14.027	15.265	14.903	15.192	12.479	17.59	15.041	22.983	22.215	25.28	13.727	16.176	26.13	15.373	24.155	21.067	23.454	21.726	18.394	15.973	15.663	16.201	27.787	25.505	25.454	23.308
MLST8	34.371	40.066	36.916	37.124	45.74	48.763	51.754	44.596	33.528	31.29	47.528	43.149	43.983	23.026	24.306	25.344	19.762	43.029	36.396	39.897	40.604	19.122	18.417	17.467	19.499	39.329	37.272	38.585	37.649
E4F1	21.09	20.438	20.267	19.222	26.268	23.641	26.408	24.784	21.132	18.817	26.133	24.981	25.808	27.122	25.703	31.037	21.202	25.311	22.243	23.037	19.967	60.458	49.859	40.598	38.523	24.533	25.086	22.161	23.639
DNASE1L2	0.136	0.239	0.388	0.169	0.3	0.174	0.177	0.288	0.331	0.41	0.13	0.32	0.211	0.387	0.251	1.084	0.279	0.156	0.147	0.154	0.099	0.442	0.479	0.301	0.237	0.465	0.443	0.124	0.204
ECI1	68.196	76.187	69.309	69.748	77.885	86.043	87.255	80.841	58.816	62.106	86.207	79.019	82.55	43.561	47.83	61.179	41.196	81.183	73.115	75.858	83.784	31.749	32.878	35.46	35.172	107.047	112.999	115.237	111.952
CASKIN1	1.637	1.368	1.68	1.286	0.394	0.458	0.274	0.346	3.754	3.172	0.599	1.252	1.215	7.306	7.962	7.644	7.803	2.187	2.619	2.308	3.32	7.223	7.533	6.215	6.095	1.285	2.093	0.787	1.656
ABCA3	2.148	1.988	2.012	2.183	2.479	1.808	2.253	2.227	2.338	2.287	2.889	2.708	2.642	1.91	2.598	1.599	2.113	3.312	3.148	3.275	3.344	1.429	1.058	1.002	1.161	7.002	6.155	6.151	6.572
KCTD5	58.086	59.995	59.047	58.089	66.413	65.192	65.674	64.293	49.159	53.841	60.49	58.871	58.458	38.248	39.7	42.15	40.848	66.527	65.583	64.164	62.256	29.748	31.392	33.982	31.9	60.826	64.87	66.089	62.332
SRRM2	493.638	358.236	418.568	365.913	334.937	303.799	289.122	296.451	562.065	404.183	279.703	351.101	319.527	868.539	775.651	457.472	619.224	336.043	308.701	317.37	275.728	1325.884	1178.796	1089.299	1035.34	348.054	288.553	214.092	215.524
ZNF597	5.302	5.296	4.891	4.569	7.792	7.408	6.952	7.372	2.644	3.992	6.637	6.376	6.261	1.467	1.341	1.274	1.765	5.687	5.178	5.583	4.484	0.935	0.932	1.328	0.739	6.017	5.096	5.385	4.967
NLRC3	0.375	0.302	0.332	0.575	0.526	0.567	0.467	0.403	0.331	0.41	0.338	0.175	0.291	0.083	0.084	0.19	0.116	0.25	0.265	0.154	0.248	0.026	0.101	0	0.053	0.246	0.246	0.166	0.306
SDHAF2	5.422	7.03	5.205	5.635	9.783	10.219	9.688	9.56	3.589	4.23	8.668	6.289	7.819	1.301	2.403	3.226	2.16	7.343	7.768	7.716	5.599	1.299	1.36	1.428	1.135	7.658	6.598	7.373	8.126
DDB1	300.489	313.495	307.913	320.277	367.534	355.699	373.48	381.228	250.279	264.844	365.675	370.753	361.291	149.835	151.258	118.048	142.725	313.982	288.693	290.706	266.488	171.916	177.138	173.568	166.651	308.971	289.956	281.279	280.403
VPS37C	46.834	43.072	50.334	43.791	43.656	43.948	43.627	44.231	46.42	43.936	43.233	43.061	42.952	41.652	45.651	43.668	35.623	45.716	43.486	43.304	40.381	39.049	34.415	33.982	30.792	47.917	46.381	46.6	45.673
VWCE	0.887	0.732	0.794	0.491	1.483	1.307	1.32	0.921	0.85	0.798	1.458	1.194	1.506	0.498	0.419	0.705	0.348	1.219	1.471	0.901	0.917	0.338	0.227	0.326	0.211	0.52	0.468	0.497	0.459
RAB3IL1	0.256	0.191	0.295	0.44	0.207	0.109	0.097	0.134	0.496	0.237	0.156	0.175	0.238	0.581	0.615	1.003	0.557	0.156	0.235	0.154	0.273	0.468	0.529	0.426	0.422	0.219	0.123	0.062	0.178
BEST1	0.784	0.748	1.015	0.795	1.07	0.719	0.805	0.941	1.039	0.928	0.469	0.67	0.555	0.803	1.201	0.678	0.581	1.062	0.706	0.813	1.189	0.494	0.353	0.251	0.343	2.598	2.782	2.361	1.987
FTH1	252.479	252.673	266.032	245.521	210.073	243.488	240.023	233.886	331.195	272.268	240.66	238.92	221.762	398.638	380.156	340.156	305.119	202.551	191.57	233.554	232.573	398.002	381.561	362.147	402.986	290.728	275.259	264.585	315.887
BSCL2	1.551	1.4	1.255	1.354	1.615	1.329	1.609	1.113	1.393	1.144	1.38	0.961	0.977	1.19	0.754	1.003	0.813	0.875	0.883	1.077	0.842	0.65	0.68	0.627	0.686	0.766	0.615	0.87	0.688
POLR2G	37.866	43.056	40.053	43.131	59.484	61.662	67.219	63.256	26.256	30.017	53.853	46.264	53.017	16.107	17.685	21.495	16.999	40.216	38.426	42.424	39.563	9.899	10.531	10.826	9.868	41.763	43.895	47.574	42.259
SLC3A2	242.932	204.972	253.407	212.018	177.946	172.718	172.691	175.486	210.069	192.618	129.987	140.277	129.491	355.713	304.863	230.268	185.802	217.925	204.722	236.588	261.36	373.943	330.745	290.675	313.011	224.378	232.595	228.092	203.043
SPINDOC	17.339	20.566	18.975	18.444	16.542	16.712	15.433	16.049	18.488	15.451	25.404	19.944	19.838	21.559	18.16	19.896	16.279	16.249	13.564	14.53	16.326	41.206	37.539	37.014	40.66	9.436	10.315	7.85	10.189
ATG16L2	15.088	9.861	13.566	7.022	11.228	9.108	9.028	6.911	18.464	12.559	6.689	11.792	12.125	30.305	32.772	37.19	21.388	16.655	14.564	18.399	13.402	33.074	26.857	21.803	21.399	15.48	14.968	10.148	9.476
C2CD3	29.341	27.755	28.48	28.562	31.019	27.432	30.029	31.983	20.424	21.105	33.837	29.901	29.216	8.358	8.437	6.207	8.453	27.123	22.95	21.256	19.274	5.404	5.341	4.661	5.699	20.977	15.51	15.678	16.863
TRANK1	37.303	28.455	33.741	31.202	20.88	19.043	18.201	21.674	46.278	44.777	23.79	32.027	23.959	53.94	61.855	37.434	55.362	29.936	29.128	28.378	28.415	33.308	36.808	39.846	34.011	39.52	38.922	31.108	37.878
TTC21A	1.569	1.956	1.846	1.794	2.234	1.939	2.124	1.939	2.314	1.899	1.848	2.417	2.087	1.744	2.57	2.331	1.672	1.656	1.912	1.715	0.966	1.871	1.461	1.253	1.293	1.778	1.28	1.181	1.07
RPSA	437.598	474.807	468.016	499.587	480.4	493.992	529.387	486.834	432.912	469.698	501.231	468.697	489.513	427.143	428.127	554.296	445.056	442.193	421.301	442.181	443.643	492.702	490.928	476.774	510.665	344.58	355.244	403.392	363.648
CTNNB1	738.735	753.437	705.605	724.82	894.8	871	929.839	912.044	620.645	683.571	751.99	736.878	756.711	495.668	527.727	606.801	540.779	715.303	702.109	700.509	688.8	420.371	409.123	414.098	386.442	684.183	666.397	666.113	678.745
ULK4	3.29	2.879	2.436	2.826	3.812	3.181	3.379	3.321	2.408	2.525	3.228	2.941	3.143	1.218	0.978	0.895	1.184	3.344	2.913	3.231	2.502	0.468	0.529	0.652	0.475	1.887	1.969	2.113	1.91
FADD	14.764	15.492	13.345	14.772	19.34	18.913	19.36	19.313	9.374	12.365	19.027	16.188	19.072	4.982	6.258	5.367	5.202	17.28	16.035	18.025	16.871	1.273	1.612	1.228	1.583	17.586	17.036	16.155	16.863
